date,product_code,registration_no,company,company_en,company_raw,commodity,commodity_mn,product_type,grade,grade_mn,contract_type,bidders,start_price,deal_price,currency,price_unit,total_value,premium_pct,lots,quantity_t,quantity_source,quality
2026-09-24,MO01-2026092401,ERD-11-2026,Эрдэнэт Үйлдвэр ТӨҮГ,Erdenet Mining Corporation,Эрдэнэт Үйлдвэр ТӨҮГ,Molybdenum,Молибден,Баяжмал,Molybdenum concentrate (>=44% Mo),44%-c багагүй молибдены агуулгатай баяжмал,Форвард,3,28504.17,34754.17,USD,тонн,17356511.0,21.93,14.0,499.408,implied (total / price),Molybdenum /Mo/ >44% | Copper /Cu/ <3% | Arsenic /As/ <0.05% | Moisture and Oil 9-12% | Phosphorus /P/ <0.1% | Iron /Fe/ <4% | Zinc /Zn/ <0.07% | Lead /Pb/ <0.14% | Sulfur /S/ <37% | Silver /Ag/ 30-45 gr/tn | Rhenium /Re/ 300-500 gr/tn
2026-09-24,C10-2026092401,ER-26186,Энержи Ресурс ХХК,Energy Resources,Энержи Ресурс ХХК,Coal,Нүүрс,Баяжуулсан,Washed non-coking-quality coal,Баяжуулсан коксжих чанаргүй нүүрс,Форвард,3,500.0,545.0,CNY,тонн,10464000.0,9.0,3.0,19200.0,reported,"Ash (dry, %) ≤ 23.0% | Volatile matter (dry, ash free basis, %) ≤ 37.0% | Sulfur (dry, %) ≤ 1.0% | Total moisture (as received, %) ≤ 9.0% | Calorific Value (Kcal/kg) ≈5500"
2026-09-23,FE03-2026092301,ECM-26-143,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),Монголросцветмет ТӨҮГ /Эрдэнэс критикал минералс ТӨҮГ/,Iron ore,Төмөр,Хүдэр,Iron ore Fe 52%,Fe-52% Төмрийн хүдэр,Форвард,6,65.0,68.0,USD,тонн,448800.0,4.62,2.0,6600.0,reported,H2O 0.5-1.0% | Al2O3 1%-3% | S 0.02%-0.05% | SiO2 5%-10% | Fe < 52% | TiO2 0.01%-0.08% | P 0.01%-0.03%
2026-09-23,C01-2026092303,ER-26185,Энержи Ресурс ХХК,Energy Resources,Энержи Ресурс ХХК,Coal,Нүүрс,Баяжуулсан,Washed coking coal,Баяжуулсан коксжих нүүрс,Форвард,5,1150.0,1290.0,CNY,тонн,16512000.0,12.17,2.0,12800.0,reported,"Ash (dry, %) ≤ 11.0% | Volatile matter (dry, ash free basis, %) >20.0%-28.0% | Sulfur (dry, %) ≤ 0.85% | Total moisture (as received, %) ≤ 10.0% | G index ≥ 75"
2026-09-22,FE03-2026092201,ECM-26-142,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),Монголросцветмет ТӨҮГ /Эрдэнэс критикал минералс ТӨҮГ/,Iron ore,Төмөр,Хүдэр,Iron ore Fe 52%,Fe-52% Төмрийн хүдэр,Спот,4,72.0,75.5,USD,тонн,249150.0,4.86,1.0,3300.0,reported,
2026-09-21,FE03-2026092101,ECM-26-141,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),Монголросцветмет ТӨҮГ /Эрдэнэс критикал минералс ТӨҮГ/,Iron ore,Төмөр,Хүдэр,Iron ore Fe 52%,Fe-52% Төмрийн хүдэр,Спот,2,72.0,74.0,USD,тонн,244200.0,2.78,1.0,3300.0,reported,H2O 0.5-1.0% | Al2O3 1%-3% | S 0.02%-0.05% | SiO2 5%-10% | Fe< 52% | TiO2 0.01%-0.08% | P 0.01%-0.03%
2026-09-21,C01-2026092103,ER-26184,Энержи Ресурс ХХК,Energy Resources,Энержи Ресурс ХХК,Coal,Нүүрс,Баяжуулсан,Washed coking coal,Баяжуулсан коксжих нүүрс,Форвард,5,1150.0,1295.0,CNY,тонн,16576000.0,12.61,2.0,12800.0,reported,"Ash (dry, %) ≤ 11.0% | Volatile matter (dry, ash free basis, %) >20.0%-28.0% | Sulfur (dry, %) ≤ 0.85% | Total moisture (as received, %) ≤ 10.0% | G index ≥ 75"
2026-09-18,FE03-2026091801,ECM-26-140,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),Монголросцветмет ТӨҮГ /Эрдэнэс критикал минералс ТӨҮГ/,Iron ore,Төмөр,Хүдэр,Iron ore Fe 52%,Fe-52% Төмрийн хүдэр,Форвард,3,65.0,68.0,USD,тонн,448800.0,4.62,2.0,6600.0,reported,H2O 0.5-1.0% | Al2O3 1%-3% | S 0.02%-0.05% | SiO2 5%-10% | Fe < 52% | TiO2 0.01%-0.08% | P 0.01%-0.03%
2026-09-18,C01-2026091801,ER-26183,Энержи Ресурс ХХК,Energy Resources,Энержи Ресурс ХХК,Coal,Нүүрс,Баяжуулсан,Washed coking coal,Баяжуулсан коксжих нүүрс,Форвард,3,1150.0,1255.0,CNY,тонн,16064000.0,9.13,2.0,12800.0,reported,"Ash (dry, %) ≤ 11.0% | Volatile matter (dry, ash free basis, %)>20.0%-28.0% | Sulfur (dry, %) ≤ 0.85% | Total moisture (as received, %) ≤ 10.0% | G index ≥ 75"
2026-09-17,C10-2026091701,ER-26182,Энержи Ресурс ХХК,Energy Resources,Энержи Ресурс ХХК,Coal,Нүүрс,Баяжуулсан,Washed non-coking-quality coal,Баяжуулсан коксжих чанаргүй нүүрс,Форвард,3,500.0,555.0,CNY,тонн,10656000.0,11.0,3.0,19200.0,reported,
