scraped_at,date,time,company,company_en,code,commodity,grade,grade_mn,currency,start_price,lots,quantity_t,pdf_url
2026-09-20 19:49,2026-09-21,10:00,Энержи Ресурс ХХК,Energy Resources,ER-26184,Coal,Washed coking coal,Баяжуулсан коксжих нүүрс,CNY,1150.0,2,12800.0,https://mse.mn/uploads/auction_schedules/mn-ea8f89d8-d28a-4a4a-8923-2c5decfb5686.pdf
2026-09-20 19:49,2026-09-21,10:00,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,2643-CO,Coal,Medium-volatile coking coal,"Дэгдэмхий бодис дунд, коксжих нүүрс",USD,181.5,10,64000.0,https://mse.mn/uploads/auction_schedules/mn-2643-CO.pdf
2026-09-20 19:49,2026-09-18,14:00,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,2642-CO,Coal,Medium-volatile coking coal,"Дэгдэмхий бодис дунд, коксжих нүүрс",USD,181.5,10,64000.0,https://mse.mn/uploads/auction_schedules/mn-2642-CO.pdf
2026-09-20 19:49,2026-09-18,11:00,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),ECM-26-140,Iron ore,Iron ore Fe 52%,Fe-52% Төмрийн хүдэр,USD,65.0,2,6600.0,https://mse.mn/uploads/auction_schedules/mn-13944a49-85d8-47b3-bbfb-99054ae4e5bb.pdf
2026-09-20 19:49,2026-09-18,10:00,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,2641-CO,Coal,Medium-volatile coking coal,"Дэгдэмхий бодис дунд, коксжих нүүрс",USD,181.5,10,64000.0,https://mse.mn/uploads/auction_schedules/mn-2641-CO.pdf
2026-09-20 19:49,2026-09-16,11:00,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),ECM-26-139,Iron ore,Iron ore Fe 52%,Fe-52% Төмрийн хүдэр,USD,65.0,2,6600.0,https://mse.mn/uploads/auction_schedules/mn-7f618976-205d-4dd4-b8d1-c0df5c7994fa.pdf
2026-09-20 19:49,2026-09-10,15:00,Эрдэнэт Үйлдвэр ТӨҮГ,Erdenet Mining Corporation,ERD-10-2026,Molybdenum,Molybdenum concentrate (>=44% Mo),44%-c багагүй молибдены агуулгатай баяжмал,USD,28317.9,13,520.0,https://mse.mn/uploads/auction_schedules/mn-ERD-10-2026.pdf
2026-09-20 19:49,2026-08-26,15:00,Эрдэнэт Үйлдвэр ТӨҮГ,Erdenet Mining Corporation,ERD-09-2026,Copper,Copper concentrate (22.35% Cu),22.35%-ийн зэсийн агуулгатай баяжмал,USD,3288.81,8,8000.0,https://mse.mn/uploads/auction_schedules/mn-1683a412-5187-47ef-83a3-3d99c1440c5b.pdf
2026-09-20 19:49,2026-07-31,15:00,Эрдэнэт Үйлдвэр ТӨҮГ,Erdenet Mining Corporation,ERD-08-2026,Copper,Copper concentrate (22.35% Cu),22.35%-ийн зэсийн агуулгатай баяжмал,USD,3097.93,7,7000.0,https://mse.mn/uploads/auction_schedules/mn-e58380ae-05a1-447b-ad6c-a87f61fa846f.pdf
2026-09-20 19:49,2026-07-07,10:00,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),ECM-26-115,Fluorspar,Fluorspar concentrate CaF2 95%,CaF2-95% Хайлуур жоншны баяжмал,USD,330.0,51,3315.0,https://mse.mn/uploads/auction_schedules/mn-25eaa973-a252-4c59-9b70-3d19903aaf81.pdf
2026-09-20 19:49,2026-07-06,10:00,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),ECM-26-116,Fluorspar,Fluorspar concentrate CaF2 95%,CaF2-95% Хайлуур жоншны баяжмал,USD,330.0,51,3315.0,https://mse.mn/uploads/auction_schedules/mn-f7156b40-f2ae-4c70-bae1-de0cc25324dc.pdf
